lambda	absorbtion
1194	1.28E+00
1195	1.28E+00
1196	1.28E+00
1197	1.28E+00
1198	1.28E+00
1199	1.28E+00
1200	1.27E+00
1201	1.27E+00
1202	1.27E+00
1203	1.27E+00
1204	1.27E+00
1205	1.27E+00
1206	1.26E+00
1207	1.26E+00
1208	1.26E+00
1209	1.26E+00
1210	1.26E+00
1211	1.25E+00
1212	1.25E+00
1213	1.24E+00
1214	1.24E+00
1215	1.24E+00
1216	1.24E+00
1217	1.23E+00
1218	1.22E+00
1219	1.22E+00
1220	1.21E+00
1221	1.21E+00
1222	1.21E+00
1223	1.21E+00
1224	1.21E+00
1225	1.20E+00
1226	1.20E+00
1227	1.20E+00
1228	1.20E+00
1229	1.19E+00
1230	1.19E+00
1231	1.18E+00
1232	1.18E+00
1233	1.18E+00
1234	1.17E+00
1235	1.17E+00
1236	1.16E+00
1237	1.16E+00
1238	1.16E+00
1239	1.16E+00
1240	1.16E+00
1241	1.15E+00
1242	1.15E+00
1243	1.14E+00
1244	1.14E+00
1245	1.13E+00
1246	1.13E+00
1247	1.13E+00
1248	1.12E+00
1249	1.12E+00
1250	1.12E+00
1251	1.11E+00
1252	1.11E+00
1253	1.10E+00
1254	1.10E+00
1255	1.10E+00
1256	1.10E+00
1257	1.10E+00
1258	1.10E+00
1259	1.10E+00
1260	1.09E+00
1261	1.09E+00
1262	1.08E+00
1263	1.08E+00
1264	1.08E+00
1265	1.08E+00
1266	1.08E+00
1267	1.08E+00
1268	1.08E+00
1269	1.08E+00
1270	1.08E+00
1271	1.08E+00
1272	1.09E+00
1273	1.09E+00
1274	1.10E+00
1275	1.10E+00
1276	1.11E+00
1277	1.11E+00
1278	1.11E+00
1279	1.11E+00
1280	1.12E+00
1281	1.13E+00
1282	1.14E+00
1283	1.15E+00
1284	1.16E+00
1285	1.16E+00
1286	1.17E+00
1287	1.18E+00
1288	1.18E+00
1289	1.19E+00
1290	1.20E+00
1291	1.21E+00
1292	1.22E+00
1293	1.23E+00
1294	1.24E+00
1295	1.25E+00
1296	1.27E+00
1297	1.28E+00
1298	1.30E+00
1299	1.31E+00
1300	1.32E+00
1301	1.34E+00
1302	1.35E+00
1303	1.37E+00
1304	1.39E+00
1305	1.42E+00
1306	1.44E+00
1307	1.47E+00
1308	1.49E+00
1309	1.51E+00
1310	1.53E+00
1311	1.55E+00
1312	1.58E+00
1313	1.61E+00
1314	1.64E+00
1315	1.67E+00
1316	1.70E+00
1317	1.73E+00
1318	1.76E+00
1319	1.79E+00
1320	1.83E+00
1321	1.87E+00
1322	1.91E+00
1323	1.94E+00
1324	1.97E+00
1325	2.01E+00
1326	2.05E+00
1327	2.10E+00
1328	2.15E+00
1329	2.20E+00
1330	2.24E+00
1331	2.28E+00
1332	2.31E+00
1333	2.36E+00
1334	2.42E+00
1335	2.48E+00
1336	2.54E+00
1337	2.59E+00
1338	2.63E+00
1339	2.67E+00
1340	2.70E+00
1341	2.74E+00
1342	2.78E+00
1343	2.83E+00
1344	2.89E+00
1345	2.96E+00
1346	3.03E+00
1347	3.10E+00
1348	3.15E+00
1349	3.18E+00
1350	3.23E+00
1351	3.27E+00
1352	3.32E+00
1353	3.36E+00
1354	3.41E+00
1355	3.45E+00
1356	3.50E+00
1357	3.54E+00
1358	3.60E+00
1359	3.65E+00
1360	3.70E+00
1361	3.75E+00
1362	3.80E+00
1363	3.87E+00
1364	3.93E+00
1365	3.98E+00
1366	4.06E+00
1367	4.13E+00
1368	4.22E+00
1369	4.30E+00
1370	4.39E+00
1371	4.50E+00
1372	4.63E+00
1373	4.74E+00
1374	4.90E+00
1375	5.09E+00
1376	5.26E+00
1377	5.48E+00
1378	5.72E+00
1379	6.01E+00
1380	6.24E+00
1381	6.58E+00
1382	6.93E+00
1383	7.31E+00
1384	7.63E+00
1385	8.09E+00
1386	8.54E+00
1387	9.03E+00
1388	9.59E+00
1389	1.00E+01
1390	1.06E+01
1391	1.12E+01
1392	1.18E+01
1393	1.24E+01
1394	1.32E+01
1395	1.37E+01
1396	1.43E+01
1397	1.51E+01
1398	1.58E+01
1399	1.65E+01
1400	1.71E+01
1401	1.78E+01
1402	1.85E+01
1403	1.92E+01
1404	1.98E+01
1405	2.03E+01
1406	2.09E+01
1407	2.15E+01
1408	2.20E+01
1409	2.26E+01
1410	2.31E+01
1411	2.36E+01
1412	2.41E+01
1413	2.45E+01
1414	2.49E+01
1415	2.53E+01
1416	2.57E+01
1417	2.61E+01
1418	2.64E+01
1419	2.67E+01
1420	2.70E+01
