# Wavelength_nm	Reflectance
2.115000000000000000e+03	2.408697419628795522e-02
2.124000000000000000e+03	2.567969281513075852e-02
2.133000000000000000e+03	2.719168428652044001e-02
2.141000000000000000e+03	2.839651659877045348e-02
2.150000000000000000e+03	2.964637486664379457e-02
2.159000000000000000e+03	3.077912545490565921e-02
2.167000000000000000e+03	3.163053290351051927e-02
2.176000000000000000e+03	3.249315323782316078e-02
2.184000000000000000e+03	3.327855736415070986e-02
2.193000000000000000e+03	3.390229983776361922e-02
2.201000000000000000e+03	3.411716724565077435e-02
2.209000000000000000e+03	3.424888124750707918e-02
2.218000000000000000e+03	3.421419035959420013e-02
2.226000000000000000e+03	3.390730694160416780e-02
2.234000000000000000e+03	3.328028305380191509e-02
2.243000000000000000e+03	3.210053741600424337e-02
2.251000000000000000e+03	3.076753474867012159e-02
2.259000000000000000e+03	2.935926892025183046e-02
2.267000000000000000e+03	2.793860506324794685e-02
2.275000000000000000e+03	2.656240461877325612e-02
2.283000000000000000e+03	2.521781882097817729e-02
2.291000000000000000e+03	2.377903829190154347e-02
2.299000000000000000e+03	2.240756530427119239e-02
2.307000000000000000e+03	2.113338178402025466e-02
2.315000000000000000e+03	1.995925309163847083e-02
2.323000000000000000e+03	1.883588423044770671e-02
2.331000000000000000e+03	1.770424686916376514e-02
2.339000000000000000e+03	1.659808917404200640e-02
2.347000000000000000e+03	1.558334947389183531e-02
2.355000000000000000e+03	1.466953407846612566e-02
2.363000000000000000e+03	1.380288921177531651e-02
2.370000000000000000e+03	1.308984505186377989e-02
2.378000000000000000e+03	1.234007451174457849e-02
2.386000000000000000e+03	1.165398789703855562e-02
2.393000000000000000e+03	1.111518716228817628e-02
2.401000000000000000e+03	1.057447128740935521e-02
2.409000000000000000e+03	1.007588393716481352e-02
2.416000000000000000e+03	9.669722240125022683e-03
2.424000000000000000e+03	9.255767007591949452e-03
2.431000000000000000e+03	8.942446357474011925e-03
2.439000000000000000e+03	8.634159366118285620e-03
