wavelength	P1	P2	P3	P4	P5	P6	P7	P8	P9
428	0.015229997	0.020732054	0.012962689	0.016538269	0.011499103	0.010210125	0.014529397	0.01471291	0.012411069
429	0.015337977	0.020848111	0.013058618	0.016679522	0.011578831	0.010303547	0.014642398	0.01481588	0.012500283
430	0.015434821	0.020956328	0.013141322	0.016806513	0.011650461	0.010387265	0.014745086	0.014916637	0.012581198
431	0.015523833	0.021057679	0.013215861	0.016921034	0.011718299	0.010465715	0.014837587	0.015010859	0.012662268
432	0.015606482	0.021149457	0.013287205	0.017025362	0.011784768	0.010536764	0.014923753	0.015095116	0.012734335
433	0.015680651	0.021240209	0.013359095	0.01712501	0.011852138	0.01059997	0.015007868	0.015170618	0.012792672
434	0.015753551	0.021344234	0.013435626	0.017217635	0.011917818	0.010661151	0.015080877	0.015240718	0.012852252
435	0.015827247	0.021452243	0.013508522	0.017306574	0.011982313	0.010723844	0.015150894	0.015307803	0.012913359
436	0.015899235	0.021555176	0.013572888	0.017393789	0.012044413	0.010787469	0.015226466	0.015373008	0.01297274
437	0.015968048	0.021657784	0.013638757	0.017472063	0.012099895	0.010846326	0.015301179	0.015438108	0.013029963
438	0.016030888	0.021756022	0.013701847	0.017549958	0.012150815	0.010897389	0.015372609	0.015499721	0.013089336
439	0.016085819	0.021843216	0.013758421	0.017631189	0.01219882	0.010943583	0.015439613	0.015555071	0.013146842
440	0.01613503	0.021922045	0.013811065	0.017713029	0.01224749	0.010993316	0.01550699	0.015610866	0.013197464
441	0.016184891	0.022001456	0.013863301	0.017786857	0.012296435	0.011044147	0.015573013	0.015665761	0.013237801
442	0.016235738	0.022076604	0.013912654	0.017856177	0.012345226	0.011095416	0.015637921	0.015719173	0.013274095
443	0.016285002	0.022143673	0.013956085	0.017929067	0.012395049	0.01114705	0.015705412	0.015769882	0.013311295
444	0.016336457	0.022206799	0.014001215	0.018005627	0.012444599	0.011195326	0.015779451	0.015817342	0.013341261
445	0.016390643	0.022272252	0.014052328	0.01808276	0.012493241	0.011238808	0.015854076	0.015863925	0.013368761
446	0.016444343	0.022343459	0.014107587	0.018159611	0.012540602	0.011280562	0.015923923	0.015911427	0.013405016
447	0.016496828	0.022410907	0.014158946	0.018236874	0.012587003	0.011322969	0.015992356	0.015959165	0.013447857
448	0.016547884	0.02248331	0.014208382	0.018310581	0.012630192	0.01136523	0.016060375	0.016003379	0.013489754
449	0.016596255	0.022564074	0.014256996	0.018379943	0.012669064	0.011404072	0.016126327	0.016044837	0.013528696
450	0.016639248	0.022643978	0.014301475	0.018447289	0.012705641	0.011437178	0.016187719	0.01608769	0.013568137
451	0.016675483	0.022711286	0.014344059	0.018510761	0.012738621	0.011466836	0.016242563	0.016131236	0.013601569
452	0.016710233	0.022770857	0.014386552	0.018570559	0.012773007	0.011498043	0.016293647	0.016174049	0.013627661
453	0.016744122	0.022828374	0.014423157	0.018623234	0.012809272	0.011527945	0.016339579	0.016211586	0.013646298
454	0.016774204	0.02288045	0.014450296	0.018672117	0.012840534	0.011551859	0.016376302	0.016246269	0.013662955
455	0.016799311	0.022919772	0.014469498	0.018716358	0.012865297	0.011569909	0.016409552	0.016275949	0.013677793
456	0.016818171	0.022949291	0.014485945	0.018754218	0.012883361	0.011582719	0.016442427	0.01629877	0.013687213
457	0.016828937	0.022972535	0.014501379	0.018787693	0.012894385	0.011590342	0.016467578	0.016318157	0.013692141
458	0.016832965	0.022986796	0.014515607	0.018815735	0.012902394	0.011595612	0.016484282	0.016332091	0.013699047
459	0.016830997	0.022993419	0.014525455	0.018837733	0.012909518	0.011601873	0.01649822	0.016338643	0.01370969
460	0.016825561	0.023002203	0.014530877	0.018851424	0.012914763	0.011608509	0.01651527	0.016338008	0.013716064
461	0.016820491	0.023016922	0.014535726	0.018865829	0.012917378	0.011614244	0.016528355	0.016337459	0.013721647
462	0.016817173	0.023029332	0.014542019	0.018882879	0.012919357	0.011616123	0.016539414	0.016339746	0.01372664
463	0.016813636	0.023030715	0.014550282	0.018899745	0.012922252	0.011613956	0.016553962	0.016342353	0.013727751
464	0.016808949	0.023031533	0.014559336	0.018919597	0.012924761	0.011612727	0.01656802	0.016345997	0.013725981
465	0.016804977	0.023039486	0.014568898	0.018938396	0.012927394	0.011613485	0.01658102	0.016351225	0.013722986
466	0.016802666	0.023053695	0.014576615	0.018952357	0.012928053	0.011613442	0.016591762	0.016358588	0.013718789
467	0.016802275	0.023058584	0.014576292	0.018964095	0.012927809	0.011615193	0.016602509	0.016363924	0.013713143
468	0.016798392	0.023053714	0.014573897	0.018977344	0.012926306	0.011617197	0.016613562	0.016367678	0.013705674
469	0.016788604	0.023046963	0.014574282	0.018995956	0.012923361	0.011619009	0.016621461	0.016371523	0.013697881
470	0.016778459	0.023039873	0.014576758	0.019016586	0.012922278	0.011622213	0.016626117	0.016373753	0.013693388
471	0.016768789	0.023032298	0.014578461	0.019027175	0.012922123	0.011623969	0.016631566	0.016372761	0.013688636
472	0.016757875	0.023024457	0.014576275	0.019032101	0.012920649	0.011622827	0.01663725	0.016369304	0.013682968
473	0.016750092	0.023023295	0.014576696	0.019048674	0.01292068	0.011621591	0.016640198	0.016369461	0.013683613
474	0.016746054	0.02302749	0.014583306	0.019062419	0.012924338	0.011617922	0.016648086	0.016370998	0.013684363
475	0.01674632	0.023032535	0.014593687	0.019074698	0.012929522	0.011612407	0.016661348	0.016374113	0.013684444
476	0.016748759	0.023041756	0.014604606	0.019093792	0.0129307	0.011609022	0.016673291	0.016381786	0.013685387
477	0.016750003	0.023064445	0.014617223	0.019111222	0.012929167	0.011609568	0.016689011	0.016393146	0.013682644
478	0.016751672	0.023087497	0.014625978	0.019126792	0.012932292	0.011613879	0.016703596	0.016403806	0.013679747
479	0.016754202	0.023102291	0.014628304	0.019142794	0.012940673	0.011619278	0.016713021	0.016411066	0.013678745
480	0.016754826	0.023120277	0.014636097	0.019156396	0.012946912	0.011621791	0.016724559	0.016417659	0.013677945
481	0.016755661	0.023137426	0.014647895	0.019171793	0.012956717	0.011626631	0.016739028	0.016423982	0.013678387
482	0.016760049	0.023150672	0.014658991	0.01918813	0.012968971	0.011634764	0.016751995	0.016429678	0.013680565
483	0.016766517	0.023156145	0.014667776	0.019195851	0.012975767	0.011638807	0.016759567	0.016433312	0.013682201
484	0.016761875	0.023150597	0.014672995	0.01920286	0.012978578	0.011639244	0.0167666	0.016437226	0.013683468
485	0.01675294	0.023140384	0.01467772	0.019217798	0.012979518	0.01163952	0.016775702	0.01644402	0.013688758
486	0.016749853	0.023130827	0.014684008	0.019231547	0.012977805	0.011639437	0.016784511	0.016450593	0.013695972
487	0.016751571	0.02312722	0.014691396	0.019252612	0.012978996	0.011641028	0.016795693	0.016460974	0.013704612
488	0.016754329	0.023133333	0.014700727	0.019282194	0.012980621	0.011647951	0.016813386	0.016475524	0.013711497
489	0.016755602	0.023153529	0.014715686	0.019314802	0.012982643	0.011661778	0.016840534	0.016493829	0.013714067
